Date,log_return,vol_zscore,volume_zscore,momentum,state,regime,posterior_top_prob,posterior_margin,posterior_entropy,realized_vol,base_exposure,raw_position,position,strategy_gross_ret,turnover,trans_cost,strategy_net_ret,bah_ret,strategy_cum,bah_cum
2015-11-13,-0.011291817303095818,-0.8833170351525763,1.5559794706045087,-0.0072721303415246,2,Chop,0.5075884955893956,0.015177666095711362,0.6930417920614884,0.125485484381219,1.195357381291266,1.195357381291266,1.2571001923528962,-0.014194945703735515,0.026707605806797874,5.341521161359575e-06,-0.014200287224896874,-0.011291817303095818,1.7304310094819892,1.8873003798803947
2015-11-16,0.01509274182166337,-0.7373856827333698,0.3497154246165044,-0.0023785364827434,2,Chop,0.850115532068329,0.7027903346439442,0.4354625244845287,0.13672206323612127,1.097116269675857,1.097116269675857,1.195357381291266,0.018041220340448697,0.061742811061630265,1.2348562212326054e-05,0.01802887177823637,0.01509274182166337,1.7616287282730243,1.9157849172538566
2015-11-17,-0.0007297168414929704,-0.5848725725080243,0.4014301140602935,-0.0029852673585972,2,Chop,0.9458422368668431,0.893545494386004,0.2186819005032416,0.1366384589510838,1.0977875566768474,1.0977875566768474,1.097116269675857,-0.0008005842190584163,0.09824111161540894,1.9648222323081788e-05,-0.000820232441381498,-0.0007297168414929704,1.760183783240425,1.9143869367350583
2015-11-18,0.015741114320341254,-0.4941299784291862,0.3757165413995993,0.0009507535771076,2,Chop,0.9805313961291481,0.9624016161351464,0.1008394915370986,0.14417511574571526,1.0404014536361337,1.0404014536361337,1.0977875566768474,0.01728039942909836,0.0006712870009903948,1.3425740019807898e-07,0.017280265171698162,0.015741114320341254,1.7906002257657423,1.9445215203595727
2015-11-19,-0.0008626184524469965,-0.9081233164100384,-0.6626828516117862,0.0035899407089937,2,Chop,0.9993314411784872,0.9989375741125197,0.006008489215640263,0.13285892264281451,1.129017133484279,1.129017133484279,1.0404014536361337,-0.0008974694918592072,0.057386103040713676,1.1477220608142736e-05,-0.00090894671246735,-0.0008626184524469965,1.7889726655771894,1.9428441402149303
2015-11-20,0.0036374057727193774,-1.283836131481182,-0.3685783383343626,0.0065757853241567,2,Chop,0.9998665090503701,0.9997442270695328,0.0013629112729313326,0.12794045845252813,1.1724203728381744,1.1724203728381744,1.129017133484279,0.0041066934388348,0.08861567984814522,1.7723135969629046e-05,0.004088970302865171,0.0036374057727193774,1.7962877216793722,1.949911052706042
2015-11-23,-0.0011471340664762414,-1.1922758522549892,-1.5139189590233366,0.0033278101465288,2,Chop,0.9999212310593822,0.999850967653769,0.0008500133795399669,0.1276311290195612,1.1752618750008117,1.1752618750008117,1.1724203728381744,-0.001344923349913446,0.04340323935389545,8.68064787077909e-06,-0.001353603997784225,-0.0011471340664762414,1.7938562594381364,1.9476742433108842
2015-11-24,0.001338659043371105,-0.949387114525164,-0.2095298773383031,0.0037414853235016,2,Chop,0.9995546334411822,0.9991578235576355,0.004035406234728868,0.12733242239047726,1.1780188987531424,1.1780188987531424,1.1752618750008117,0.0015732749372991178,0.002841502162637344,5.683004325274688e-07,0.0015727066368665904,0.001338659043371105,1.7966774690829392,1.9502815150502333
2015-11-25,-0.000143509820797226,-1.4132800411605009,-1.85082274468876,0.0005645604952739,2,Chop,0.9999449420475494,0.9998911814879227,0.000601161268880674,0.12095822369202408,1.2400975760186441,1.2400975760186441,1.1780188987531424,-0.000169057281055809,0.0027570237523306673,5.514047504661335e-07,-0.00016960868580627512,-0.000143509820797226,1.7963727369785902,1.9500016304995043
2015-11-27,0.0011461990850234584,-1.6816392977223085,-2.038665593013244,0.000966324002768,2,Chop,0.9999735067344787,0.9999472527639064,0.00030705993259937104,0.12098733553774459,1.2397991850411838,1.2397991850411838,1.2400975760186441,0.0014213987069723786,0.06207867726550176,1.2415735453100352e-05,0.0014089829715192782,0.0011461990850234584,1.7989037955754947,1.952236720584177
